"KEY","VALUE"
"Acer campestre",79734
"Acer platanoides",79779
"Acer pseudoplatanus",79783
"Achillea millefolium",79908
"Agrimonia eupatoria",80410
"Agropiropyron repens",80499
"Agrostis canina",80590
"Agrostis capillaris",80591
"Agrostis stolonifera",80759
"Ailanthus altissima",80824
"Aira praecox",80911
"Ajuga reptans",80990
"Alliaria petiolata",81295
"Allium ursinum",81541
"Alopecurus pratensis",81656
"Anacamptis pyramidalis",82288
"Anagallis arvensis",82321
"Anagallis foemina",82329
"Anemone sylvestris",82665
"Anisantha sterilis",82757
"Anthoxanthum odoratum",82922
"Anthriscus sylvestris",82952
"Vulneraria anthyllis",82999
"Arctium lappa",83499
"Argentina anserina",83714
"Arrhenatherum elatius",83912
"Artemisia vulgaris",84061
"Astragalus glycyphyllos",84843
"Avena fatua",85250
"Avena sativa",85357
"Bellis perennis",85740
"Berula erecta",85798
"Blackstonia perfoliata",86087
"Brachypodium distachyon",86262
"Brachypodium pinnatum",86289
"Brachypodium sylvaticum",86305
"Briza media",86490
"Bromopsis erecta",86512
"Bromus hordeaceus",86634
"Bromus inermis",86640
"Bromus sterilis",86763
"Buddleja davidii",86869
"Calamagrostis arundinacea",87212
"Calamagrostis epigejos",87227
"Calluna vulgaris",87501
"Calystegia sepium",87560
"Campanula rapunculus",87712
"Campanula rotundifolia",87720
"Cardamine pratensis",87964
"Cardaria draba",88012
"Carex cuprina",88448
"Carex dioica",88472
"Carex flacca",88510
"Carex hirta",88569
"Carex pendula",88766
"Carex spicata",88885
"Carpinus betulus",89200
"Centaurea scabiosa",89697
"Erythraea centaurium",89840
"Cerastium dubium",89999
"Cerastium fontanum",90008
"Cerastium glomeratum",90017
"Cerastium pumilum",90076
"Cerastium semidecandrum",90091
"Cerastium tomentosum",90111
"Chaerophyllum temulentum",90354
"Chaerophyllum temulum",90356
"Chenopodium album",90681
"Cichorium intybus",91169
"Cirsium arvense",91289
"Cirsium vulgare",91430
"Clematis vitalba",91886
"Convolvulus althaeoides",92297
"Convolvulus arvensis",92302
"Convolvulus sepium",92353
"Conyza canadensis",92379
"Conyza sumatrensis",92401
"Cornus sanguinea",92501
"Coronilla varia",92546
