code;longitude;latitude;location;created_at;updated_at
Beaubourg2;2.651496724067643;48.820350914611872;allée des Aigrettes;2014-12-03 13:36:59.627576;2014-12-03 13:36:59.627576
Soubriarde1;2.643646761808511;48.830243422216853;Boulevard Georges Bidault;2014-12-03 14:36:22.663016;2014-12-03 14:36:22.663016
Beaubourg1;2.648091166065891;48.821900563050406;Rue des Vieilles vignes;2014-12-03 15:25:47.416732;2014-12-03 15:25:47.416732
Madeleine1;2.641088543734150;48.830253426829806;avenue de la Soubriarde;2014-12-03 15:46:35.508654;2014-12-03 15:46:35.508654
Maubuée2;2.635175762490111;48.847588601231848;Promenade de la chocolaterie;2014-12-04 08:58:37.685746;2014-12-04 08:58:37.685746
Maubuée1;2.631175397593279;48.852864835680563;Promenade de la chocolaterie;2014-12-04 09:43:13.027906;2014-12-04 09:43:13.027906
Maubuée3;2.635713655986137;48.846193495858905;Promenade de la chocolaterie;2014-12-04 10:17:28.179461;2014-12-04 10:17:28.179461
Segrais1;2.649783424277424;48.832794010743754;Autoroute de l'Est;2014-12-04 10:35:44.284309;2014-12-04 10:35:44.284309
Segrais2;2.652261897573087;48.833128578154721;Autoroute de l'Est;2014-12-04 10:47:04.370421;2014-12-04 10:47:04.370421
Segrais3;2.653840155348201;48.833518922726427;Autoroute de l'Est;2014-12-04 10:57:40.922518;2014-12-04 10:57:40.922518
Segrais4;2.657283686670189;48.833360822920106;Autoroute de l'Est;2014-12-04 13:07:14.959417;2014-12-04 13:07:14.959417
Segrais5;2.656812696230368;48.834948808351903;Autoroute de l'Est;2014-12-08 08:59:24.919776;2014-12-08 08:59:24.919776
Bois célie1;2.612811312596396;48.822306597903392;Boulevard du clos de l'Aumône;2014-12-11 08:57:36.145562;2014-12-11 08:57:36.145562
Vieilles vignes1;2.637533462699464;48.816722653072759;Rue des Vieilles vignes;2014-12-11 09:12:45.343193;2014-12-11 09:12:45.343193
Noisiel1;2.620675182005053;48.854751339671637;Boulevard Pierre Carle;2014-12-11 10:17:44.704102;2014-12-11 10:17:44.704102
Noisiel2;2.612477319279069;48.859719417296873;Chemin de halage;2014-12-11 13:22:05.151085;2014-12-11 13:22:05.151085
Noisiel3;2.609378799463487;48.860295022569467;Chemin de halage;2014-12-11 13:33:00.246994;2014-12-11 13:33:00.246994
Noisiel4;2.604290735694294;48.862391395405737;Chemin de halage;2014-12-11 13:59:38.389409;2014-12-11 14:01:15.311494
